SRR8367185	FCHC2V5BBXX_L2_wHAXPI032499-26.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col24_RL2-1\tSM:SRR8367185\tLB:Col24_RL2-1'
SRR8367185	FCH7NHMBBXX_L1_wHAXPI032499-26.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col24_RL2-1\tSM:SRR8367185\tLB:Col24_RL2-1'
SRR8367187	FCHC2V5BBXX_L2_wHAXPI032500-27.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col24_RL2-3\tSM:SRR8367187\tLB:Col24_RL2-3'
SRR8367187	FCH7NHMBBXX_L1_wHAXPI032500-27.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col24_RL2-3\tSM:SRR8367187\tLB:Col24_RL2-3'
SRR8367188	FCH7NHMBBXX_L1_wHAXPI032505-32.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col24_RL4-2\tSM:SRR8367188\tLB:Col24_RL4-2'
SRR8367188	FCHC2V5BBXX_L2_wHAXPI032505-32.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col24_RL4-2\tSM:SRR8367188\tLB:Col24_RL4-2'
SRR8367189	FCH7NHMBBXX_L1_wHAXPI032506-34.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col24_RL4-3\tSM:SRR8367189\tLB:Col24_RL4-3'
SRR8367189	FCHC2V5BBXX_L2_wHAXPI032506-34.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col24_RL4-3\tSM:SRR8367189\tLB:Col24_RL4-3'
SRR8367190	FCH7NHMBBXX_L1_wHAXPI032567-19.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col17_SL4-1\tSM:SRR8367190\tLB:Col17_SL4-1'
SRR8367190	FCHCFN7BBXX_L4_wHAXPI032567-19.bam	'@RG\tID:HCFN7BBXX.4\tPL:ILLUMINA\tPU:HCFN7BBXX.4.Col17_SL4-1\tSM:SRR8367190\tLB:Col17_SL4-1'
SRR8367192	FCHC2V5BBXX_L2_wHAXPI032516-40.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col17_SL2-3\tSM:SRR8367192\tLB:Col17_SL2-3'
SRR8367192	FCH7NHMBBXX_L1_wHAXPI032516-40.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col17_SL2-3\tSM:SRR8367192\tLB:Col17_SL2-3'
SRR8367193	FCHC2V5BBXX_L2_wHAXPI032517-41.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col17_SL3-1\tSM:SRR8367193\tLB:Col17_SL3-1'
SRR8367193	FCH7NHMBBXX_L1_wHAXPI032517-41.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col17_SL3-1\tSM:SRR8367193\tLB:Col17_SL3-1'
SRR8367194	FCH7NHMBBXX_L1_wHAXPI032518-42.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col17_SL3-2\tSM:SRR8367194\tLB:Col17_SL3-2'
SRR8367194	FCHC2V5BBXX_L2_wHAXPI032518-42.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col17_SL3-2\tSM:SRR8367194\tLB:Col17_SL3-2'
SRR8367195	FCH7NHMBBXX_L1_wHAXPI032519-45.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col17_SL3-3\tSM:SRR8367195\tLB:Col17_SL3-3'
SRR8367195	FCHC2V5BBXX_L2_wHAXPI032519-45.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col17_SL3-3\tSM:SRR8367195\tLB:Col17_SL3-3'
SRR8367196	FCHCFN7BBXX_L4_wHAXPI032512-34.bam	'@RG\tID:HCFN7BBXX.4\tPL:ILLUMINA\tPU:HCFN7BBXX.4.Col17_SL1-2\tSM:SRR8367196\tLB:Col17_SL1-2'
SRR8367196	FCH7NHMBBXX_L2_wHAXPI032512-34.bam	'@RG\tID:H7NHMBBXX.2\tPL:ILLUMINA\tPU:H7NHMBBXX.2.Col17_SL1-2\tSM:SRR8367196\tLB:Col17_SL1-2'
SRR8367197	FCHCFN7BBXX_L4_wHAXPI032513-35.bam	'@RG\tID:HCFN7BBXX.4\tPL:ILLUMINA\tPU:HCFN7BBXX.4.Col17_SL1-3\tSM:SRR8367197\tLB:Col17_SL1-3'
SRR8367197	FCH7NHMBBXX_L2_wHAXPI032513-35.bam	'@RG\tID:H7NHMBBXX.2\tPL:ILLUMINA\tPU:H7NHMBBXX.2.Col17_SL1-3\tSM:SRR8367197\tLB:Col17_SL1-3'
SRR8367198	FCHCFN7BBXX_L4_wHAXPI032514-36.bam	'@RG\tID:HCFN7BBXX.4\tPL:ILLUMINA\tPU:HCFN7BBXX.4.Col17_SL2-1\tSM:SRR8367198\tLB:Col17_SL2-1'
SRR8367198	FCH7NHMBBXX_L2_wHAXPI032514-36.bam	'@RG\tID:H7NHMBBXX.2\tPL:ILLUMINA\tPU:H7NHMBBXX.2.Col17_SL2-1\tSM:SRR8367198\tLB:Col17_SL2-1'
SRR8367199	FCH7NHMBBXX_L1_wHAXPI032515-39.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col17_SL2-2\tSM:SRR8367199\tLB:Col17_SL2-2'
SRR8367199	FCHC2V5BBXX_L2_wHAXPI032515-39.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col17_SL2-2\tSM:SRR8367199\tLB:Col17_SL2-2'
SRR8367200	FCHC2V5BBXX_L2_wHAXPI032497-24.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col24_RL1-2\tSM:SRR8367200\tLB:Col24_RL1-2'
SRR8367200	FCH7NHMBBXX_L2_wHAXPI032497-24.bam	'@RG\tID:H7NHMBBXX.2\tPL:ILLUMINA\tPU:H7NHMBBXX.2.Col24_RL1-2\tSM:SRR8367200\tLB:Col24_RL1-2'
SRR8367202	FCH7NHMBBXX_L2_wHAXPI032498-25.bam	'@RG\tID:H7NHMBBXX.2\tPL:ILLUMINA\tPU:H7NHMBBXX.2.Col24_RL1-3\tSM:SRR8367202\tLB:Col24_RL1-3'
SRR8367202	FCHC2V5BBXX_L2_wHAXPI032498-25.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col24_RL1-3\tSM:SRR8367202\tLB:Col24_RL1-3'
SRR8367207	FCHC2V5BBXX_L2_wHAXPI032503-30.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col24_RL3-3\tSM:SRR8367207\tLB:Col24_RL3-3'
SRR8367207	FCH7NHMBBXX_L1_wHAXPI032503-30.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col24_RL3-3\tSM:SRR8367207\tLB:Col24_RL3-3'
SRR8367211	FCHC2V5BBXX_L2_wHAXPI032495-22.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col17_RL4-3\tSM:SRR8367211\tLB:Col17_RL4-3'
SRR8367211	FCH7NHMBBXX_L2_wHAXPI032495-22.bam	'@RG\tID:H7NHMBBXX.2\tPL:ILLUMINA\tPU:H7NHMBBXX.2.Col17_RL4-3\tSM:SRR8367211\tLB:Col17_RL4-3'
SRR8367212	FCH7NHMBBXX_L2_wHAXPI032511-32.bam	'@RG\tID:H7NHMBBXX.2\tPL:ILLUMINA\tPU:H7NHMBBXX.2.Col17_SL1-1\tSM:SRR8367212\tLB:Col17_SL1-1'
SRR8367212	FCHCFN7BBXX_L4_wHAXPI032511-32.bam	'@RG\tID:HCFN7BBXX.4\tPL:ILLUMINA\tPU:HCFN7BBXX.4.Col17_SL1-1\tSM:SRR8367212\tLB:Col17_SL1-1'
SRR8367213	FCHC2V5BBXX_L2_wHAXPI032504-31.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col24_RL4-1\tSM:SRR8367213\tLB:Col24_RL4-1'
SRR8367213	FCH7NHMBBXX_L1_wHAXPI032504-31.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col24_RL4-1\tSM:SRR8367213\tLB:Col24_RL4-1'
SRR8367214	FCH7NHMBBXX_L1_wHAXPI032501-28.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col24_RL3-1\tSM:SRR8367214\tLB:Col24_RL3-1'
SRR8367214	FCHC2V5BBXX_L2_wHAXPI032501-28.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col24_RL3-1\tSM:SRR8367214\tLB:Col24_RL3-1'
SRR8367215	FCHC2V5BBXX_L2_wHAXPI032439-13.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col17_RL1-1\tSM:SRR8367215\tLB:Col17_RL1-1'
SRR8367215	FCH7NHMBBXX_L2_wHAXPI032439-13.bam	'@RG\tID:H7NHMBBXX.2\tPL:ILLUMINA\tPU:H7NHMBBXX.2.Col17_RL1-1\tSM:SRR8367215\tLB:Col17_RL1-1'
SRR8367216	FCHC2V5BBXX_L2_wHAXPI032440-15.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col17_RL2-2\tSM:SRR8367216\tLB:Col17_RL2-2'
SRR8367216	FCH7NHMBBXX_L2_wHAXPI032440-15.bam	'@RG\tID:H7NHMBBXX.2\tPL:ILLUMINA\tPU:H7NHMBBXX.2.Col17_RL2-2\tSM:SRR8367216\tLB:Col17_RL2-2'
SRR8367217	FCH7NHMBBXX_L2_wHAXPI032441-16.bam	'@RG\tID:H7NHMBBXX.2\tPL:ILLUMINA\tPU:H7NHMBBXX.2.Col17_RL2-3\tSM:SRR8367217\tLB:Col17_RL2-3'
SRR8367217	FCHC2V5BBXX_L2_wHAXPI032441-16.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col17_RL2-3\tSM:SRR8367217\tLB:Col17_RL2-3'
SRR8367218	FCH7NHMBBXX_L2_wHAXPI032442-17.bam	'@RG\tID:H7NHMBBXX.2\tPL:ILLUMINA\tPU:H7NHMBBXX.2.Col17_RL3-1\tSM:SRR8367218\tLB:Col17_RL3-1'
SRR8367218	FCHC2V5BBXX_L2_wHAXPI032442-17.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col17_RL3-1\tSM:SRR8367218\tLB:Col17_RL3-1'
SRR8367219	FCHC2V5BBXX_L2_wHAXPI032443-18.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col17_RL3-2\tSM:SRR8367219\tLB:Col17_RL3-2'
SRR8367219	FCH7NHMBBXX_L2_wHAXPI032443-18.bam	'@RG\tID:H7NHMBBXX.2\tPL:ILLUMINA\tPU:H7NHMBBXX.2.Col17_RL3-2\tSM:SRR8367219\tLB:Col17_RL3-2'
SRR8367220	FCH7NHMBBXX_L2_wHAXPI032444-19.bam	'@RG\tID:H7NHMBBXX.2\tPL:ILLUMINA\tPU:H7NHMBBXX.2.Col17_RL3-3\tSM:SRR8367220\tLB:Col17_RL3-3'
SRR8367220	FCHC2V5BBXX_L2_wHAXPI032444-19.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col17_RL3-3\tSM:SRR8367220\tLB:Col17_RL3-3'
SRR8367221	FCH7NHMBBXX_L1_wHAXPI032502-29.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col24_RL3-2\tSM:SRR8367221\tLB:Col24_RL3-2'
SRR8367221	FCHC2V5BBXX_L2_wHAXPI032502-29.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col24_RL3-2\tSM:SRR8367221\tLB:Col24_RL3-2'
SRR8367222	FCH7NHMBBXX_L2_wHAXPI032494-21.bam	'@RG\tID:H7NHMBBXX.2\tPL:ILLUMINA\tPU:H7NHMBBXX.2.Col17_RL4-2\tSM:SRR8367222\tLB:Col17_RL4-2'
SRR8367222	FCHC2V5BBXX_L2_wHAXPI032494-21.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col17_RL4-2\tSM:SRR8367222\tLB:Col17_RL4-2'
SRR8367225	FCH7NHMBBXX_L2_wHAXPI032496-23.bam	'@RG\tID:H7NHMBBXX.2\tPL:ILLUMINA\tPU:H7NHMBBXX.2.Col24_RL1-1\tSM:SRR8367225\tLB:Col24_RL1-1'
SRR8367225	FCHC2V5BBXX_L2_wHAXPI032496-23.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col24_RL1-1\tSM:SRR8367225\tLB:Col24_RL1-1'
SRR8367245	FCHC2V5BBXX_L2_wHAXPI032508-36.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col24_RL5-3\tSM:SRR8367245\tLB:Col24_RL5-3'
SRR8367245	FCH7NHMBBXX_L1_wHAXPI032508-36.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col24_RL5-3\tSM:SRR8367245\tLB:Col24_RL5-3'
SRR8367246	FCH7NHMBBXX_L1_wHAXPI032507-35.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col24_RL5-1\tSM:SRR8367246\tLB:Col24_RL5-1'
SRR8367246	FCHC2V5BBXX_L2_wHAXPI032507-35.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col24_RL5-1\tSM:SRR8367246\tLB:Col24_RL5-1'
SRR8367248	FCHC2V5BBXX_L2_wHAXPI032445-20.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col17_RL4-1\tSM:SRR8367248\tLB:Col17_RL4-1'
SRR8367248	FCH7NHMBBXX_L2_wHAXPI032445-20.bam	'@RG\tID:H7NHMBBXX.2\tPL:ILLUMINA\tPU:H7NHMBBXX.2.Col17_RL4-1\tSM:SRR8367248\tLB:Col17_RL4-1'
